date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:48	69043/69043	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:20%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/produits-vintage.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/produits-vintage.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:48	1968/1968	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/detournements.png	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/detournements.png	(from http://www.ecocyclerieyonnaise.fr/)
12:14:48	2373/2373	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Sep%202017%2014:26:20%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/velo.png	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/velo.png	(from http://www.ecocyclerieyonnaise.fr/)
12:14:51	46797/46797	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/object-insolite.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/object-insolite.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:53	10950/10950	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/partenaire-direccte.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/partenaire-direccte.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:55	9661/9661	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/partenaire-legallais.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/partenaire-legallais.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:55	38222/38222	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/actu-cinema.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/actu-cinema.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:57	13378/13378	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/partenaire-aglolaroche2.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/partenaire-aglolaroche2.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:58	9028/9028	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Sep%202017%2014:26:20%20GMT	http://www.ecocyclerieyonnaise.fr/vendors/js/jquery.waypoints.min.js	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/vendors/js/jquery.waypoints.min.js	(from http://www.ecocyclerieyonnaise.fr/)
12:14:58	14779/14779	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/partenaire-vendee.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/partenaire-vendee.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:58	60723/60723	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/actu-amenagement.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/actu-amenagement.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:58	2717/2717	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2028%20Sep%202017%2014:26:20%20GMT	http://www.ecocyclerieyonnaise.fr/resources/js/script.js	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/js/script.js	(from http://www.ecocyclerieyonnaise.fr/)
12:14:58	66919/66919	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Sep%202017%2014:26:19%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/actu-atelier.jpg	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/actu-atelier.jpg	(from http://www.ecocyclerieyonnaise.fr/)
12:14:59	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	https://www.google-analytics.com/analytics.js	/home/lr-14/websites/ecocyclerie/www.google-analytics.com/analytics.js	(from http://www.ecocyclerieyonnaise.fr/)
12:14:59	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2027%20Mar%202018%2010:14:59%20GMT	https://fonts.googleapis.com/robots.txt		(from http://www.ecocyclerieyonnaise.fr/)
12:15:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202018%2010:14:59%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/logo-ecocyclerie.png	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/logo-ecocyclerie.png	(from http://www.ecocyclerieyonnaise.fr/)
12:15:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202018%2010:14:59%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/maison.png	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/maison.png	(from http://www.ecocyclerieyonnaise.fr/)
12:15:01	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Tue,%2027%20Mar%202018%2010:15:00%20GMT	http://www.ecocyclerieyonnaise.fr/resources/img/tennis.png	/home/lr-14/websites/ecocyclerie/www.ecocyclerieyonnaise.fr/resources/img/tennis.png	(from http://www.ecocyclerieyonnaise.fr/)
